address,listing_dates,CRMLS_ID,Event,price
548 Pine St ,"Sep 19, 2019,Sep 19, 2019,Jun 23, 2019,Jun 14, 2019,Feb 26, 2019,Jan 19, 2019,Jan 19, 2019,Jan 14, 2019,Oct 4, 2018,Sep 11, 2016,Aug 26, 2016,Jul 15, 2016,Jun 23, 2016,Jun 23, 2016,May 24, 2016,Apr 28, 2016,Apr 22, 2016,Apr 19, 2016,Mar 9, 2016","CRMLS #SB19142992,Public Records,CRMLS #SB19142992,CRMLS #SB19142992,CRMLS #SB18241081,CRMLS #SB18241081,CRMLS #SB18241081,CRMLS #SB18241081,CRMLS #SB18241081,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210,CRMLS #SB16049210","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Delisted (Hold Do Not Show),Relisted (Active),Price Changed,Delisted (Hold Do Not Show),Listed (Active),Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Pending (Pending Sale),Contingent (Active Under Contract),Pending (Pending Sale),Contingent (Active Under Contract),Delisted,Contingent (Active Under Contract),Listed (Active)","$2,349,000,$2,349,000,$2,349,000,*,*,$2,200,000,$2,250,000"
1038 5th St ,"Oct 1, 2019,Oct 1, 2019,Sep 6, 2019,Aug 29, 2019,Jul 20, 2019,Aug 30, 1973","CRMLS #SB19172590,Public Records,CRMLS #SB19172590,CRMLS #SB19172590,CRMLS #SB19172590,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Price Changed,Listed (Active),Sold (Public Records)","$1,175,000,$1,175,000,$1,190,000,$1,290,000,$53,000"
520 Pine St ,"Oct 25, 2019,Oct 7, 2019,Sep 6, 2019,Jul 18, 2019","CRMLS #SB19171628,CRMLS #SB19171628,CRMLS #SB19171628,CRMLS #SB19171628","Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active)","$2,787,500,$2,999,000"
1220 17th St ,"Oct 29, 2019,Oct 29, 2019,Sep 25, 2019,Sep 15, 2019,Aug 22, 2019,Jul 25, 2019,Jul 9, 2019,Jun 28, 2019,Jun 28, 2019,Jun 17, 2019,Jun 14, 2019,Jun 13, 2019,Oct 2, 2018,Oct 2, 2018,Sep 11, 2018,Aug 23, 2018,Aug 17, 2018,Aug 9, 2018,Aug 8, 2018,Jul 3, 2018,Jul 2, 2018,May 23, 2018,Apr 25, 2018,Sep 27, 2000,Aug 1, 2000,Feb 28, 1995,Feb 13, 1995,Nov 12, 1991,Jul 22, 1988","CRMLS #SB19139101,Public Records,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB19139101,CRMLS #SB18159711,Public Records,CRMLS #SB18159711,CRMLS #SB18159711,CRMLS #SB18159711,CRMLS #SB18159711,CRMLS #SB18159711,CRMLS #SB18159711,CRMLS #SB18091620,CRMLS #SB18091620,CRMLS #SB18091620,Public Records,CRMLS #S183619,Public Records,CRMLS #S109428,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Price Changed,Relisted (Active),Relisted (Active),Delisted (Hold Do Not Show),Delisted (Hold Do Not Show),Price Changed,Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Relisted (Active),Delisted (Hold Do Not Show),Listed (Active),Delisted (Canceled),Price Changed,Listed (Active),Sold (Public Records),Listed,Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records)","$2,200,000,$2,200,000,$2,399,000,$2,499,000,$2,549,000,$2,499,000,$2,335,000,$2,335,000,$2,395,000,$2,450,000,*,*,$519,000,**,$299,000,**,$121,500,$380,000"
922 2nd ,"Nov 13, 2019,Nov 13, 2019,Sep 4, 2019,Sep 3, 2019,May 17, 2019,Aug 30, 2012,Aug 30, 2012,Aug 23, 2012,Aug 1, 2012,Jul 11, 2012,Jul 9, 2012,Jun 26, 2012,May 29, 1997,Apr 30, 1997,Feb 25, 1997,Oct 21, 1996,Aug 31, 1996,Jun 1, 1996","CRMLS #SB19107146,Public Records,CRMLS #SB19107146,CRMLS #SB19107146,CRMLS #SB19107146,CRMLS #S12079885,Public Records,CRMLS #S12079885,CRMLS #S12079885,CRMLS #S12079885,CRMLS #S12079885,CRMLS #S12079885,Public Records,CRMLS #S122253,CRMLS #S127173,CRMLS #S122253,CRMLS #S120484,CRMLS #S120484","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Relisted (Active),Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Delisted,Listed,Listed,Delisted,Listed","$2,300,000,$2,300,000,$2,449,000,$2,599,000,$1,500,000,$1,500,000,$1,549,000,$300,000,**,*,*"
913 5th St ,"Nov 15, 2019,Nov 12, 2019,Oct 7, 2019,Aug 15, 2019,Aug 7, 2019,Jul 18, 2019,Oct 6, 2017,May 21, 1984","CRMLS #SB19171700,CRMLS #SB19171700,CRMLS #SB19171700,CRMLS #SB19171700,CRMLS #SB19171700,CRMLS #SB19171700,Public Records,Public Records","Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Relisted (Active),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records)","$2,875,000,$3,150,000,$1,605,000,$190,000"
444 Hermosa Ave #102 ,"Dec 4, 2019,Dec 4, 2019,Oct 19, 2019,Oct 14, 2019,Sep 29, 2019,Sep 24, 2019,Sep 19, 2019,Dec 3, 2015,Dec 3, 2015,Oct 26, 2015,Oct 24, 2015,Oct 22, 2015,Feb 23, 2004,Nov 30, 2000,Aug 30, 2000,Aug 29, 2000,Aug 2, 2000,Aug 2, 2000,Mar 21, 2000,Sep 1, 1994","CRMLS #SB19221081,Public Records,CRMLS #SB19221081,CRMLS #SB19221081,CRMLS #SB19221081,CRMLS #SB19221081,CRMLS #SB19221081,CRMLS #SB15230600,Public Records,CRMLS #SB15230600,CRMLS #SB15230600,CRMLS #SB15230600,Public Records,Public Records,CRMLS #V27000,CRMLS #V26666,CRMLS #V26666,CRMLS #V25426,CRMLS #V25426,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Relisted (Active),Contingent (Active Under Contract),Price Changed,Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records),Listed,Delisted,Listed,Delisted,Listed,Sold (Public Records)","$1,685,000,$1,685,000,$1,829,000,$1,899,000,$1,475,000,$1,475,000,$1,399,999,$866,000,$515,000,**,*,*,$310,000"
600 1st St ,"Jan 9, 2020,Jan 9, 2020,Nov 26, 2019,Nov 21, 2019,Nov 15, 2019,Nov 15, 2019,Sep 18, 2019,Jul 15, 2019,Jul 15, 2019,Nov 18, 2004,Nov 15, 2004,Sep 7, 2004,Aug 25, 2004,Jan 15, 2004,Jun 8, 2001,Apr 22, 1997,May 15, 1996,Aug 11, 1995,Mar 13, 1994,Nov 20, 1987,Sep 2, 1986","CRMLS #SB19269004,Public Records,CRMLS #SB19269004,CRMLS #SB19269004,SDMLS #301763111,CRMLS #SB19167760,CRMLS #SB19167760,SDMLS #301763111,CRMLS #SB19167760,TheMLS #04-092844,CRMLS #S367773,TheMLS #04-092844,CRMLS #S367773,Public Records,Public Records,CRMLS #S118533,CRMLS #S118533,CRMLS #S103861,CRMLS #S103861,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Delisted,Delisted (Expired),Price Changed,Listed (Active),Listed (Active),Delisted,Delisted,Listed,Listed,Sold (Public Records),Sold (Public Records),Delisted,Listed,Delisted,Listed,Sold (Public Records),Sold (Public Records)","$2,975,000,$2,975,000,$2,995,000,*,*,*,*,*,$1,545,000,$500,000,*,*,$650,000,$148,500"
1011 Owosso Ave ,"Jan 14, 2020,Jan 7, 2020,Dec 13, 2019,Dec 11, 2019,Oct 30, 2001,Oct 30, 2001,May 5, 2001,Apr 30, 2001","CRMLS #PV19279577,CRMLS #PV19279577,CRMLS #PV19279577,CRMLS #PV19279577,CRMLS #Z304577,CRMLS #R13835,CRMLS #R13835,CRMLS #Z304577","Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Delisted,Delisted,Listed,Listed","$1,459,888,$1,459,888,*,*"
1834 Pacific Coast Hwy ,"Aug 2, 2019,Mar 11, 2019,Feb 5, 2019,Oct 26, 2018,Aug 3, 2018,Jun 22, 2018,Jun 12, 2018,May 28, 2018,Apr 24, 2018,Apr 24, 2018,Apr 10, 2018,Mar 14, 2018,Feb 19, 2018,Oct 30, 2017,Jan 8, 2014,Jan 8, 2014,Dec 8, 2013,Oct 30, 2013","Public Records,Public Records,Public Records,Public Records,Public Records,CRMLS #SB18094188,Public Records,CRMLS #SB18094188,CRMLS #SB18094188,CRMLS #SB18094188,CRMLS #SB18006669,CRMLS #SB18006669,CRMLS #SB18006669,CRMLS #SB18006669,CRMLS #SB14020523,Public Records,CRMLS #SB14020523,CRMLS #SB14020523","Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Delisted (Canceled),Price Changed,Price Changed,Listed (Active),Sold (MLS),Sold (Public Records),Delisted,Listed","$1,620,000,$1,625,000,$1,625,000,$1,625,000,$1,659,000,$1,659,000,$1,630,000,$1,659,000,*,*,*,$1,150,000,$1,150,000,$1,150,000"
1225 Corona St ,"Feb 21, 2014,Feb 21, 2014,Jan 23, 2014,Jan 15, 2014,Jun 26, 1997,Jun 26, 1997,May 12, 1997,Oct 21, 1988,Apr 25, 1985,Nov 8, 1983","CRMLS #SB14010029,Public Records,CRMLS #SB14010029,CRMLS #SB14010029,Public Records,Public Records,CRMLS #S130864,Public Records,Public Records,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Sold (Public Records),Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$880,000,$880,000,$829,000,$350,000,$350,000,**,$325,000,$209,500,$175,000"
909 21st St ,"Aug 29, 2014,Aug 29, 2014,Aug 20, 2014,Jul 9, 2014,Jul 8, 2014,Jun 21, 2014,Jun 30, 1994,Jun 7, 1991,Sep 8, 1983","CRMLS #SB14130969,Public Records,CRMLS #SB14130969,CRMLS #SB14130969,CRMLS #SB14130969,CRMLS #SB14130969,Public Records,Public Records,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Pending,Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,305,000,$1,305,000,$1,299,000,$334,500,$475,000,$262,000"
2411 Prospect Ave #209 ,"Sep 25, 2014,Sep 25, 2014,Sep 16, 2014,Sep 12, 2014,Aug 27, 2014,Aug 27, 2014,Aug 26, 2014,Aug 12, 2014,Aug 4, 2014,Jul 1, 2011,Jun 7, 2011,Jun 7, 2011,May 31, 2011,Apr 30, 2011,Mar 13, 2011,Jan 28, 2011,Jan 3, 2011,Nov 20, 2010,May 18, 2004,Dec 25, 2003,Dec 25, 2003,Dec 24, 2003,Dec 24, 2003,Jul 23, 1998,Mar 30, 1998,Jan 12, 1998,Oct 20, 1997,Oct 18, 1997,Jun 18, 1997,Jun 18, 1991,Jul 25, 1989,Mar 18, 1988,Sep 3, 1980","CRMLS #SB14165335,Public Records,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #SB14165335,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S10121991,CRMLS #S352954,CRMLS #S352954,CRMLS #S352954,CRMLS #S352954,Public Records,Public Records,CRMLS #S144711,CRMLS #S138103,CRMLS #S138103,CRMLS #S132521,CRMLS #S132521,Public Records,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Pending,Pending (Backup Offers Accepted),Delisted,Pending (Backup Offers Accepted),Price Changed,Listed (Active),Delisted (Expired),Price Changed (Active),Relisted (Active),Delisted (Hold),Price Changed,Price Changed,Price Changed,Price Changed,Listed (Active),Listed,Price Changed,Price Changed,Price Changed,Sold (Public Records),Sold (Public Records),Listed,Delisted,Listed,Delisted,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$341,000,$341,000,$349,900,$359,900,*,*,*,*,*,*,**,**,**,**,$299,000,$140,000,**,*,*,$152,000,$128,500,$95,000,$86,000"
517 24th St ,"Sep 27, 2016,Sep 27, 2016,Aug 29, 2016,Aug 4, 2016,Aug 4, 2016,Jun 8, 2016,Jun 8, 2016,Jun 8, 2016","CRMLS #SB16123179,Public Records,CRMLS #SB16123179,CRMLS #SB16123179,CRMLS #SB16123179,CRMLS #SB16123179,CRMLS #SB16123179,CRMLS #SB16123179","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Relisted (Active),Price Changed,Delisted (Hold Do Not Show),Listed,Delisted","$1,550,000,$1,550,000,$1,790,000,$1,880,000"
1617 Raymond Ave ,"Oct 11, 2018,Oct 11, 2018,Sep 4, 2018,Aug 22, 2018,Aug 9, 2018,Aug 3, 2018,Aug 3, 2018,Oct 14, 1998,Aug 12, 1998,Jun 17, 1998,Jun 17, 1998,May 20, 1998,Mar 27, 1998,Feb 12, 1998,Dec 4, 1987","CRMLS #SB18188641,Public Records,CRMLS #SB18188641,CRMLS #SB18188641,CRMLS #SB18188641,CRMLS #SB18188641,CRMLS #SB18188641,Public Records,CRMLS #S148582,CRMLS #S148582,CRMLS #S147140,CRMLS #S147140,Public Records,CRMLS #S142476,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Price Changed,Relisted (Active),Listed,Delisted,Sold (Public Records),Delisted,Listed,Delisted,Listed,Sold (Public Records),Listed,Sold (Public Records)","$1,250,000,$1,250,000,$1,195,000,$1,499,000,$410,000,*,*,$339,000,**,$248,000"
1818 Pacific Coast Hwy ,"Oct 27, 2018,Oct 2, 2018,Jul 18, 2018,Jul 17, 2018,Jun 12, 2018,Jun 12, 2018,May 2, 2018,Apr 10, 2018,Mar 14, 2018,Feb 19, 2018,Oct 30, 2017,Jan 8, 2014,Dec 29, 2013,Oct 21, 2013,Sep 14, 2005,Jun 14, 2005","CRMLS #SB18172766,CRMLS #SB18172766,CRMLS #SB18172766,CRMLS #SB18102985,CRMLS #SB18102985,CRMLS #SB18102985,CRMLS #SB18102985,CRMLS #SB18005298,CRMLS #SB18005298,CRMLS #SB18005298,CRMLS #SB18005298,CRMLS #SB13214284,CRMLS #SB13214284,CRMLS #SB13214284,CRMLS #S904039,CRMLS #S904039","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Listed (Active),Pending (Pending Sale),Contingent (Active Under Contract),Delisted (Canceled),Listed (Active),Delisted (Canceled),Price Changed,Price Changed,Listed (Active),Sold (MLS) (Closed),Pending,Listed (Active),Delisted,Listed","$1,625,000,$1,659,000,*,*,*,*,$990,000,$1,099,000,*"
1832 Pacific Coast Hwy ,"Mar 11, 2019,Feb 13, 2019,May 24, 2018","CRMLS #SB18123044,CRMLS #SB18123044,CRMLS #SB18123044","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Listed (Active)","$1,625,000,$1,659,000"
1204 11th Pl ,"Apr 16, 2019,Apr 16, 2019,Apr 5, 2019,Mar 19, 2019,Mar 14, 2019,Jun 17, 2005,Jun 17, 2005,Apr 30, 2005,Jun 20, 1997,May 9, 1997","CRMLS #SB19013401,Public Records,CRMLS #SB19013401,CRMLS #SB19013401,CRMLS #SB19013401,CRMLS #S901629,Public Records,CRMLS #S901629,Public Records,CRMLS #S130629","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS),Sold (Public Records),Listed,Sold (Public Records),Listed","$1,269,500,$1,269,500,$1,269,500,$759,000,$759,000,$779,000,$265,000,**"
811 19th St ,"Jul 26, 2019,Nov 23, 2018,May 14, 2018,Nov 22, 2017,Nov 22, 2017","CRMLS #SB17263045,CRMLS #SB17263045,CRMLS #SB17263045,CRMLS #SB17263045,CRMLS #SB17263045","Sold (MLS) (Closed Sale),Pending (Pending Sale),Price Changed,Contingent (Active Under Contract),Listed (Active)","$1,699,000,$1,699,000,$1,639,000"
1623 RAYMOND Ave ,"Dec 27, 2019,Dec 27, 2019,Nov 12, 2019,Oct 31, 2019,Oct 29, 2019,Oct 15, 2019,Oct 5, 2019,Oct 5, 2019,Sep 24, 2019,Sep 17, 2019,Sep 10, 2019,Sep 5, 2019,Apr 5, 2019,Aug 21, 2012,Aug 21, 2012,Jul 20, 2012,May 25, 2012,May 4, 2012,Apr 8, 2012,Apr 5, 2012,Dec 5, 2011,Oct 18, 2011,Dec 3, 2010,Nov 12, 2010,Jun 15, 2007,Jun 1, 2007,Apr 14, 2007,Mar 29, 2007,Apr 22, 1998,Mar 5, 1985","CRMLS #SB19254248,Public Records,CRMLS #SB19254248,CRMLS #SB19254248,CRMLS #SB19236627,CRMLS #SB19236627,CRMLS #SB19236627,CRMLS #SB19236236,CRMLS #SB19212200,CRMLS #SB19212200,CRMLS #SB19212200,CRMLS #SB19212200,CRMLS #SB19236236,CRMLS #S11136857,Public Records,CRMLS #S11136857,CRMLS #S11136857,CRMLS #S11136857,CRMLS #S11136857,CRMLS #S11136857,CRMLS #S11136857,CRMLS #S11136857,CRMLS #K10119113,CRMLS #K10119113,CRMLS #S944136,Public Records,CRMLS #S944136,CRMLS #S944136,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Delisted (Canceled),Price Changed,Listed (Active),Delisted (Canceled),Delisted (Withdrawn),Price Changed,Price Changed,Listed (Active),Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Price Changed,Price Changed,Price Changed,Price Changed,Listed (Active),Delisted (Hold),Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Delisted,Listed,Sold (Public Records),Sold (Public Records)","$1,205,000,$1,205,000,$1,199,000,*,*,*,*,*,*,$845,000,$824,000,$849,500,$869,900,$869,500,$899,500,$924,500,*,$900,000,$900,000,$939,000,$185,000,$150,000"
220 27th St ,"Jul 16, 2015,Jul 16, 2015,Jul 16, 2015,Jun 2, 2015,May 7, 2015,May 1, 2015,Apr 29, 2015","CRMLS #SB15092685,SDMLS #301790171,Public Records,CRMLS #SB15092685,CRMLS #SB15092685,CRMLS #SB15092685,SDMLS #301790171","Sold (MLS) (Closed Sale),Sold (MLS),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Listed","$2,900,000,$2,900,000,$2,900,000,$2,900,000,$2,900,000"
2411 Prospect Ave #117 ,"Jul 12, 2016,Jul 12, 2016,Jun 9, 2016,May 16, 2016,Apr 28, 2016,Jun 17, 2007,Mar 17, 2007,Jun 30, 2005,May 29, 2005,Nov 12, 2003,Jan 19, 2000,Jun 8, 1993","CRMLS #SB16089685,Public Records,CRMLS #SB16089685,CRMLS #SB16089685,CRMLS #SB16089685,CRMLS #S943334,CRMLS #S943334,CRMLS #S903155,CRMLS #S903155,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Delisted,Listed,Delisted,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$510,000,$510,000,$519,900,*,*,$332,500,$161,000,$140,000"
908 8th St ,"Jun 15, 2018,Jun 15, 2018,Jun 15, 2018,May 21, 2018,Apr 26, 2018,Apr 17, 2018,May 29, 2013,May 29, 2013,May 24, 2013,Mar 28, 2013,Mar 28, 2013,Mar 19, 2013,Mar 19, 2013,Jan 13, 1981,Jan 13, 1981","CRMLS #SB18093147,SDMLS #301737430,Public Records,CRMLS #SB18093147,CRMLS #SB18093147,SDMLS #301737430,CRMLS #SB13047020,CRMLS #SB13047030,Public Records,CRMLS #SB13047030,CRMLS #SB13047020,CRMLS #SB13047030,CRMLS #SB13047020,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (MLS),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Listed,Sold (MLS) (Closed),Sold (MLS) (Closed),Sold (Public Records),Pending,Pending,Listed (Active),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,475,000,$1,475,000,$1,475,000,$1,490,000,$1,490,000,$809,325,$809,325,$809,500,$785,000,$785,000,$172,000,$172,000"
429 Bayview Dr ,"Mar 28, 2018,Mar 28, 2018,Feb 25, 2018,Feb 13, 2018,Nov 5, 1997,Jul 6, 1997,Jul 27, 1990,Jan 24, 1989,Apr 7, 1988","CRMLS #SB18034474,Public Records,CRMLS #SB18034474,CRMLS #SB18034474,Public Records,CRMLS #V13370,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,800,000,$1,800,000,$1,719,000,$497,000,**,$465,000,$489,000,$325,000"
